"id","conversation_id","full_text","url","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29","hashtags/30","hashtags/31","hashtags/32","hashtags/33","hashtags/34","hashtags/35","view_count","favorite_count","retweet_count","reply_count","created_at"
"1648401009968906240","1648401009968906240","5 years ago today, Jimin with a cat 🐱 https://t.co/pmBbpiHp5x","https://twitter.com/btsthroughyears/status/1648401009968906240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2269","269","83","5","2023-04-18T19:00:01.000Z"
"1648398020864794624","1648398020864794624","Family ❤️ https://t.co/lqSjAkH4uE","https://twitter.com/Cattuspersonata/status/1648398020864794624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2768","192","34","4","2023-04-18T18:48:08.000Z"
"1648391289891594245","1648391289891594245","“wanna see my cat?” https://t.co/QRdWSWPaTT","https://twitter.com/picsforJK/status/1648391289891594245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4276","393","57","5","2023-04-18T18:21:23.000Z"
"1648386089734864897","1648386089734864897","Cat totally understood the assignment🥰 https://t.co/Ga3lEct1Ln","https://twitter.com/Norwegian_Lars/status/1648386089734864897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1201","186","30","17","2023-04-18T18:00:43.000Z"
"1648381817458663425","1648381817458663425","Somebody looks rather comfortable!! https://t.co/TnqDPl0LXA","https://twitter.com/EdFatherOfCats/status/1648381817458663425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164","32","5","1","2023-04-18T17:43:45.000Z"
"1648376676831887360","1648376676831887360","there are two types of cats: https://t.co/1VLHtNk0Bu","https://twitter.com/AMAZlNGNATURE/status/1648376676831887360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159218","4356","544","33","2023-04-18T17:23:19.000Z"
"1648372649242902552","1648372649242902552","Pet the cat boy https://t.co/bhfjxeqALs","https://twitter.com/Yuqikun/status/1648372649242902552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3646","536","61","10","2023-04-18T17:07:19.000Z"
"1648370731850539008","1648370731850539008","Cat’s got your tongue? 

#Fortnite #Fortniteart #Meowskulls #FortniteCamille #FortniteMEGA https://t.co/ld3e8PY1FB","https://twitter.com/slumberdoq/status/1648370731850539008","Fortnite","Fortniteart","Meowskulls","FortniteCamille","FortniteMEGA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12355","1650","289","23","2023-04-18T16:59:42.000Z"
"1648362262158098446","1648362262158098446","stair master https://t.co/3pEI20A1JH","https://twitter.com/DontShowYourCat/status/1648362262158098446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37476","2122","219","16","2023-04-18T16:26:03.000Z"
"1648355944106008577","1648355944106008577","punch cat https://t.co/VkMdv0PDth","https://twitter.com/PunchingCat/status/1648355944106008577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16874","660","109","6","2023-04-18T16:00:56.000Z"
"1648353839634952196","1648353839634952196","BC and his cat 🫶🏽 https://t.co/cxJEjjjed2","https://twitter.com/BClarkeFanAcc/status/1648353839634952196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"827","24","2","1","2023-04-18T15:52:34.000Z"
"1648351700019814400","1648351700019814400","changkyun posted this video of the cat that appeared in MONSTA X GO on bubble 🥺 https://t.co/f6fgzDlALI","https://twitter.com/ckyunstd/status/1648351700019814400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12925","1046","254","4","2023-04-18T15:44:04.000Z"
"1648350548318363648","1648350548318363648","They r napping :]

#lumity #TheOwlHouse #tohfanart https://t.co/am665wLUQm","https://twitter.com/TheLavend3rCat/status/1648350548318363648","lumity","TheOwlHouse","tohfanart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8017","888","157","10","2023-04-18T15:39:30.000Z"
"1648349164265422848","1648349164265422848","garden cat https://t.co/4IZwupJtiq","https://twitter.com/gardenfaerys/status/1648349164265422848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31278","743","159","3","2023-04-18T15:34:00.000Z"
"1648346794454024192","1648346794454024192","Smol screaming bean https://t.co/XBTCVYkYx2","https://twitter.com/CatLoverCult/status/1648346794454024192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36909","2271","359","12","2023-04-18T15:24:35.000Z"
"1648335727690924032","1648335727690924032","u think ur special? https://t.co/QBTzJSy7ZB","https://twitter.com/catswithaura/status/1648335727690924032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50770","2199","214","3","2023-04-18T14:40:36.000Z"
"1648335322940604416","1648335322940604416","bro that firework shooting was awesome i can only imagine the cops laughing their ass off drunk guy shooting at you using fire works with a bob cat in the car man that's some gta shit https://t.co/igca4apIC4","https://twitter.com/InsaneRealitys/status/1648335322940604416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65046","1343","134","11","2023-04-18T14:39:00.000Z"
