"id","conversation_id","full_text","url","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","view_count","favorite_count","retweet_count","reply_count","created_at"
"1648393088316915712","1648393088316915712","bruh https://t.co/dnW4DJ2dEZ","https://twitter.com/Daily_Mad_Dogs/status/1648393088316915712",,,,,,,,,,,,,,,,,,,,,,,,,,,,"268","16","2","3","2023-04-18T18:28:32.000Z"
"1648376521516781576","1648376521516781576","When you arrive at the dog park and it’s closed 😢 https://t.co/8xzwNwy8Nt","https://twitter.com/cctv_idiots/status/1648376521516781576",,,,,,,,,,,,,,,,,,,,,,,,,,,,"38087","309","44","8","2023-04-18T17:22:42.000Z"
"1648369781987500033","1648369781987500033","Oh I just know he makes her feel crazy like it’s an Olympic sport https://t.co/5kPCKkF2Nh","https://twitter.com/SheRatesDogs/status/1648369781987500033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"199402","2914","52","32","2023-04-18T16:55:55.000Z"
"1648368056731594753","1648368056731594753","Delhi Boy Mauled By Dogs At Same Place Where 2 Children Killed By Strays https://t.co/LSXrjjskBa https://t.co/jUZN4XPTM2","https://twitter.com/ndtvfeed/status/1648368056731594753",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4321","18","6","3","2023-04-18T16:49:04.000Z"
"1648366962026639360","1648366962026639360","You can't even be mad at the dog for this. You just have to be impressed. https://t.co/KZioaUMO0L","https://twitter.com/AKBrews/status/1648366962026639360",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8131","492","95","53","2023-04-18T16:44:43.000Z"
"1648359413588303872","1648359413588303872","This is Walter. His day is not going as planned. Refuses to suffer in silence. 13/10 https://t.co/ksLHkfIGjs","https://twitter.com/dog_rates/status/1648359413588303872",,,,,,,,,,,,,,,,,,,,,,,,,,,,"989456","19699","2043","270","2023-04-18T16:14:43.000Z"
"1648353146308009986","1648353146308009986","You deserve great respect ❤ https://t.co/wJbZsrpKkx","https://twitter.com/thehappydog_/status/1648353146308009986",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10256","995","97","9","2023-04-18T15:49:49.000Z"
"1648349818887045120","1648349818887045120","The dog saying goodbye to everyone who goes out❤️

 https://t.co/BJxbuglNQW","https://twitter.com/TansuYegen/status/1648349818887045120",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49008","684","69","8","2023-04-18T15:36:36.000Z"
"1648333847497506818","1648333847497506818","Dogs know 🤣 https://t.co/krjqdBDHAF","https://twitter.com/AlixG_2/status/1648333847497506818",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17230","1820","344","49","2023-04-18T14:33:08.000Z"
"1648326012000673795","1648326012000673795","Do you find Super Soft Dog bed? 
Get Yours Now at: 👇👇
https://t.co/fdj8Fsdeo5
🚀Shipping Worldwide!🌍
#dogs #dogsinlove #dogsoftwitter #DogVideo #goldenretriever https://t.co/XakkB7tVai","https://twitter.com/goldenloverzone/status/1648326012000673795","dogs","dogsinlove","dogsoftwitter","DogVideo","goldenretriever",,,,,,,,,,,,,,,,,,,,,,,"4883","189","21","0","2023-04-18T14:02:00.000Z"
"1648311183789948929","1648311183789948929","Adorable sweetie!!!!!🥰🥰🥰

Dogs Brain Training
https://t.co/KiZaVqW3vY

#dogs https://t.co/tvTsd7bjxm","https://twitter.com/dogdistrictctr/status/1648311183789948929","dogs",,,,,,,,,,,,,,,,,,,,,,,,,,,"13953","929","119","6","2023-04-18T13:03:05.000Z"
"1648307408790495233","1648307408790495233","Little girl in action😂

Dogs Lover Merch
https://t.co/OqEuSPZRjs

#chiots #chiot #chien #funnydogs #doggy #pet https://t.co/7yyn1lcYGH","https://twitter.com/doglovergift/status/1648307408790495233","chiots","chiot","chien","funnydogs","doggy","pet",,,,,,,,,,,,,,,,,,,,,,"8710","483","35","5","2023-04-18T12:48:04.000Z"
"1648298870814953473","1648298870814953473","Lovely dog https://t.co/QA3KIr2O6b","https://twitter.com/fightanimalss/status/1648298870814953473",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9837","389","33","4","2023-04-18T12:14:09.000Z"
"1648296147050704896","1648296147050704896","Dog favorite songs https://t.co/axqOMLFQ1Q","https://twitter.com/PuppiesIover/status/1648296147050704896",,,,,,,,,,,,,,,,,,,,,,,,,,,,"71910","4321","673","20","2023-04-18T12:03:19.000Z"
"1648142249530912768","1648142249530912768","THERE IS A DOG ON THE MV? https://t.co/gFBNeDDkyJ","https://twitter.com/ppantheres/status/1648142249530912768",,,,,,,,,,,,,,,,,,,,,,,,,,,,"191740","7238","253","34","2023-04-18T01:51:47.000Z"
"1648053410267275264","1648053410267275264","This is Tofu. He loves making new friends. Especially if they can fly. 13/10 https://t.co/yABQioUWPz","https://twitter.com/dog_rates/status/1648053410267275264",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2675463","48363","3769","172","2023-04-17T19:58:47.000Z"
"1648038621675417601","1648038621675417601","We don't deserve dogs 💛 https://t.co/Shu3OrBOxx","https://twitter.com/dodo/status/1648038621675417601",,,,,,,,,,,,,,,,,,,,,,,,,,,,"251447","6391","873","49","2023-04-17T19:00:01.000Z"
"1648007189578272770","1648007189578272770","Food is a basic necessity, but for stray dogs, it's a daily struggle. Let's show our compassion and support initiatives that help provide these animals with a meal. Together, we can make a difference and ensure that no dog goes hungry. #FeedStrayDogs
#dogs
https://t.co/ifqxOQikn3 https://t.co/fq0c9K1t1W","https://twitter.com/TheViditsharma/status/1648007189578272770","FeedStrayDogs","dogs",,,,,,,,,,,,,,,,,,,,,,,,,,"18471","910","326","36","2023-04-17T16:55:07.000Z"
"1647978314693214209","1647978314693214209","Today is my birthday. I'm 15 and no one wished me yet 🥺 https://t.co/TyKZ4xq2dd","https://twitter.com/TweeetsOfDogs/status/1647978314693214209",,,,,,,,,,,,,,,,,,,,,,,,,,,,"83873","7541","221","638","2023-04-17T15:00:22.000Z"
"1647946011195891712","1647946011195891712","Animals sense things far better then humans, and that is why dogs are man's' best friend ❤️✌️ https://t.co/n3iVKMZVfD","https://twitter.com/cctvidiots/status/1647946011195891712",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3144125","87861","13208","400","2023-04-17T12:52:01.000Z"
